Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1148,RMAX,Real Estate,Real Estate Services,NYSE,106.44,79,90,29,6
1149,ITGR,Healthcare,Medical Devices,NYSE,106.44,79,80,85,89
1150,SNEX,Financial Services,Capital Markets,NASDAQ,106.43,79,76,79,64
1151,OPRA,Communication Services,Internet Content & Information,NASDAQ,106.4,79,53,21,81
1152,CWK,Real Estate,Real Estate Services,NYSE,106.39,79,89,89,62
1153,DSGR,Industrials,Industrial Distribution,NASDAQ,106.38,79,81,47,81
1154,TUSK,Industrials,Conglomerates,NASDAQ,106.36,79,32,21,18
1155,SPI,Technology,Solar,NASDAQ,106.35,79,8,6,8
1156,MTH,Consumer Cyclical,Residential Construction,NYSE,106.34,79,84,86,72
1157,ICE,Financial Services,Financial Data & Stock Exchanges,NYSE,106.31,79,82,76,71
1158,FCAP,Financial Services,Banks—Regional,NASDAQ,106.26,79,65,53,42
1159,FSBC,Financial Services,Banks—Regional,NASDAQ,106.26,79,87,82,39
1160,YEXT,Technology,Software—Infrastructure,NYSE,106.26,79,75,18,17
1161,BOX,Technology,Software—Infrastructure,NYSE,106.23,79,85,34,47
1162,XOMA,Healthcare,Biotechnology,NASDAQ,106.21,79,90,89,91
1163,FBIN,Industrials,Building Products & Equipment,NYSE,106.18,79,75,39,66
1164,NDAQ,Financial Services,Financial Data & Stock Exchanges,NASDAQ,106.17,79,85,64,69
1165,NXRT,Real Estate,REIT—Residential,NYSE,106.17,79,88,75,32
1166,VEL,Financial Services,Mortgage Finance,NYSE,106.17,79,78,87,90
1167,RBCAA,Financial Services,Banks—Regional,NASDAQ,106.15,79,88,83,65
1168,THRD,Healthcare,Biotechnology,NASDAQ,106.14,79,89,91,96
1169,FBP,Financial Services,Banks—Regional,NYSE,106.13,79,81,87,81
1170,LEU,Energy,Uranium,NYSE MKT,106.12,79,24,36,41
1171,LOW,Consumer Cyclical,Home Improvement Retail,NYSE,106.12,79,65,56,68
1172,CODA,Industrials,Aerospace & Defense,NASDAQ,106.12,79,82,36,32
1173,PNC,Financial Services,Banks—Regional,NYSE,106.08,79,80,81,78
1174,BTBT,Financial Services,Capital Markets,NASDAQ,106.07,79,39,95,32
1175,AMTR,n/a,n/a,NYSE ARCA,106.05,79,76,74,71
1176,RF,Financial Services,Banks—Regional,NYSE,106.02,79,74,74,63
1177,FOX,Communication Services,Entertainment,NASDAQ,105.99,79,82,71,40
1178,LEN,Consumer Cyclical,Residential Construction,NYSE,105.99,79,85,82,83
1179,MAC,Real Estate,REIT—Retail,NYSE,105.98,79,67,72,86
1180,ITT,Industrials,Specialty Industrial Machinery,NYSE,105.97,79,69,79,86
1181,RXST,Healthcare,Medical Devices,NASDAQ,105.97,79,84,80,97
1182,UNM,Financial Services,Insurance—Life,NYSE,105.97,79,71,54,69
1183,ACGL,Financial Services,Insurance—Diversified,NASDAQ,105.89,79,86,62,77
1184,WSM,Consumer Cyclical,Specialty Retail,NYSE,105.83,79,83,93,96
1185,ATHM,Communication Services,Internet Content & Information,NYSE,105.83,79,45,36,31
1186,KRUS,Consumer Cyclical,Restaurants,NASDAQ,105.82,79,31,6,90
1187,SQNS,Technology,Semiconductors,NYSE,105.8,79,84,3,0
1188,INFY,Technology,Information Technology Services,NYSE,105.79,79,83,80,39
1189,HLT,Consumer Cyclical,Lodging,NYSE,105.76,78,69,82,80
1190,AWX,Industrials,Waste Management,NYSE MKT,105.76,78,65,32,39
1191,SNCRL,n/a,n/a,NASDAQ,105.72,78,79,66,72
1192,SPG,Real Estate,REIT—Retail,NYSE,105.71,78,73,73,76
1193,COST,Consumer Defensive,Discount Stores,NASDAQ,105.67,78,84,85,80
1194,MMSI,Healthcare,Medical Instruments & Supplies,NASDAQ,105.66,78,88,70,36
1195,FSBW,Financial Services,Banks—Regional,NASDAQ,105.63,78,89,80,38
1196,FLR,Industrials,Engineering & Construction,NYSE,105.59,78,67,86,78
1197,PPSI,Industrials,Electrical Equipment & Parts,NASDAQ,105.58,78,33,24,10
1198,AER,Industrials,Rental & Leasing Services,NYSE,105.58,78,75,84,88
1199,BRX,Real Estate,REIT—Retail,NYSE,105.57,78,83,68,55
1200,APD,Basic Materials,Specialty Chemicals,NYSE,105.57,78,56,42,22
1201,RY,Financial Services,Banks—Diversified,NYSE,105.5,78,81,71,58
1202,AX,Financial Services,Banks—Regional,NYSE,105.49,78,85,93,75
1203,GWW,Industrials,Industrial Distribution,NYSE,105.48,78,73,66,83
1204,PLNT,Consumer Cyclical,Leisure,NYSE,105.47,78,86,79,27
1205,JFIN,Communication Services,Internet Content & Information,NASDAQ,105.46,78,33,35,78
1206,BHFAM,Financial Services,Insurance—Life,NASDAQ,105.45,78,74,66,65
1207,AIT,Industrials,Industrial Distribution,NYSE,105.45,78,74,77,79
1208,BSIG,Financial Services,Asset Management,NYSE,105.44,78,74,73,71
1209,SSSS,Financial Services,Asset Management,NASDAQ,105.44,78,34,41,39
1210,RSVR,Communication Services,Entertainment,NASDAQ,105.42,78,68,67,88
1211,SSNC,Technology,Software—Application,NASDAQ,105.41,78,82,66,58
1212,RPM,Basic Materials,Specialty Chemicals,NYSE,105.41,78,65,61,71
1213,WHD,Energy,Oil & Gas Equipment & Services,NYSE,105.39,78,75,76,77
1214,ATR,Healthcare,Medical Instruments & Supplies,NYSE,105.38,78,66,64,71
1215,ENSG,Healthcare,Medical Care Facilities,NASDAQ,105.38,78,89,81,73
1216,EBMT,Financial Services,Banks—Regional,NASDAQ,105.35,78,74,57,29
1217,VABK,Financial Services,Banks—Regional,NASDAQ,105.34,78,83,86,15
1218,ZWS,Industrials,Pollution & Treatment Controls,NYSE,105.33,78,63,51,83
1219,ORLA,Basic Materials,Gold,NYSE MKT,105.31,78,64,45,58
1220,CAT,Industrials,Farm & Heavy Construction Machinery,NYSE,105.3,78,67,73,90
1221,DESP,Consumer Cyclical,Travel Services,NYSE,105.29,78,77,91,96
1222,BPOP,Financial Services,Banks—Regional,NASDAQ,105.28,78,83,87,86
1223,APPS,Technology,Software—Application,NASDAQ,105.26,78,69,8,1
1224,TME,Communication Services,Internet Content & Information,NYSE,105.26,78,33,95,95
1225,ZUMZ,Consumer Cyclical,Apparel Retail,NASDAQ,105.24,78,86,86,34
1226,SLN,Healthcare,Biotechnology,NASDAQ,105.23,78,67,97,99
1227,AU,Basic Materials,Gold,NYSE,105.22,78,91,88,70
1228,AMG,Financial Services,Asset Management,NYSE,105.17,78,71,62,69
1229,PWUPU,Financial Services,Shell Companies,NASDAQ,105.16,78,39,41,44
1230,ATXS,Healthcare,Biotechnology,NASDAQ,105.15,78,86,89,82
1231,WF,Financial Services,Banks—Regional,NYSE,105.12,78,70,63,68
